SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,name
293971,Cash loans,M,Y,Y,1,324000.0,248760.0,24732.0,225000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.032561,-16624,-8780,-8730.0,-88,7.0,1,1,0,1,1,1,,3.0,1,1,FRIDAY,12,0,0,0,0,0,0,Other,0.7596619930448809,0.7054615073580272,0.6610235391308081,0.2165,0.1688,0.9816,0.7484,0.0,0.28,0.2069,0.4583,0.4792,0.0156,0.1874,0.2671,0.0019,0.0143,0.0452,0.0283,0.9806,0.7452,0.0,0.1208,0.0345,0.3333,0.375,0.0159,0.0395,0.1198,0.0,0.0143,0.2186,0.1688,0.9816,0.7518,0.0,0.28,0.2069,0.4583,0.4792,0.0158,0.1907,0.2719,0.0019,0.0146,reg oper account,block of flats,0.3315,Panel,No,0.0,0.0,0.0,0.0,-2613.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,Robert
208312,Cash loans,F,N,Y,0,202500.0,569398.5,31923.0,486000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.031329,-22329,-13861,-944.0,-4994,,1,1,0,1,0,0,Core staff,2.0,2,2,THURSDAY,12,0,0,0,0,0,0,Kindergarten,0.829397684111965,0.5593589975280107,0.7121551551910698,0.1546,0.1019,0.9861,0.8096,0.0295,0.16,0.1379,0.3333,0.375,0.2033,0.1261,0.1502,0.0,0.0015,0.1576,0.1058,0.9861,0.8171,0.0298,0.1611,0.1379,0.3333,0.375,0.2079,0.1377,0.1565,0.0,0.0016,0.1561,0.1019,0.9861,0.8121,0.0297,0.16,0.1379,0.3333,0.375,0.2068,0.1283,0.1529,0.0,0.0015,reg oper account,block of flats,0.1185,Panel,No,0.0,0.0,0.0,0.0,-1408.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,6.0,Daenerys
178610,Cash loans,F,Y,Y,1,135000.0,900000.0,33930.0,900000.0,,State servant,Higher education,Married,House / apartment,0.01885,-10083,-2144,-10034.0,-2446,7.0,1,1,0,1,0,0,Core staff,3.0,2,2,MONDAY,8,0,0,0,0,0,0,Security Ministries,0.4855917760672891,0.7374355742789771,0.6446794549585961,0.0134,0.0243,0.9712,0.6056,0.0021,0.0,0.069,0.0417,0.0833,0.0157,0.0109,0.0096,0.0,0.0,0.0137,0.0252,0.9712,0.621,0.0021,0.0,0.069,0.0417,0.0833,0.0161,0.0119,0.01,0.0,0.0,0.0135,0.0243,0.9712,0.6109,0.0021,0.0,0.069,0.0417,0.0833,0.016,0.0111,0.0098,0.0,0.0,reg oper account,block of flats,0.0114,"Stone, brick",No,2.0,1.0,2.0,0.0,-1812.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,Samwell
353814,Cash loans,F,N,Y,0,90000.0,314055.0,13329.0,238500.0,Family,Pensioner,Secondary / secondary special,Separated,House / apartment,0.0088659999999999,-22019,365243,-510.0,-4283,,1,0,0,1,0,0,,1.0,2,2,THURSDAY,16,0,0,0,0,0,0,XNA,,0.2116988812953484,0.6863823354047934,0.0619,0.0469,0.9762,0.6736,0.0092,0.0,0.1379,0.1667,0.2083,0.0739,0.0504,0.0524,0.0,0.0,0.063,0.0487,0.9762,0.6864,0.0093,0.0,0.1379,0.1667,0.2083,0.0756,0.0551,0.0546,0.0,0.0,0.0625,0.0469,0.9762,0.6779999999999999,0.0093,0.0,0.1379,0.1667,0.2083,0.0752,0.0513,0.0533,0.0,0.0,reg oper account,block of flats,0.0462,Panel,No,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,Bronn
407315,Cash loans,F,N,Y,0,180000.0,135000.0,13482.0,135000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.0145199999999999,-20685,365243,-9201.0,-4190,,1,0,0,1,0,0,,2.0,2,2,SATURDAY,12,0,0,0,0,0,0,XNA,0.7149486683363194,0.5486991860494155,,0.0624,0.0,0.9831,0.7348,,0.02,0.1379,0.2221,0.375,0.0477,0.0605,0.0673,,0.002,0.0515,0.0,0.9786,0.7190000000000001,,0.0,0.1379,0.1667,0.375,0.036,0.0661,0.0622,,0.0,0.063,0.0,0.9826,0.7115,,0.0,0.1379,0.1667,0.375,0.0486,0.0616,0.0671,,0.002,,block of flats,0.1791,Panel,No,0.0,0.0,0.0,0.0,-1818.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Arya
261500,Cash loans,F,N,Y,0,90000.0,182448.0,18823.5,157500.0,Family,Pensioner,Secondary / secondary special,Widow,House / apartment,0.00963,-21244,365243,-10683.0,-4370,,1,0,0,1,0,0,,1.0,2,2,WEDNESDAY,9,0,0,0,0,0,0,XNA,,0.4147234662595941,0.6212263380626669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,-966.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,Sansa
409076,Cash loans,M,Y,Y,0,270000.0,841500.0,43096.5,841500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.026392,-21279,-2115,-2252.0,-3855,8.0,1,1,0,1,0,1,Managers,2.0,2,2,WEDNESDAY,12,0,0,0,0,0,0,Business Entity Type 3,0.5490431370122316,0.6219835941428191,0.4014074137749511,0.068,0.0524,0.9712,,,0.0,0.2069,0.125,,0.1072,,0.0843,,0.08,0.0693,0.0543,0.9712,,,0.0,0.2069,0.125,,0.1096,,0.0879,,0.0847,0.0687,0.0524,0.9712,,,0.0,0.2069,0.125,,0.109,,0.0859,,0.0817,,block of flats,0.0837,"Stone, brick",No,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,Brandon
213240,Cash loans,F,N,Y,2,112500.0,199152.0,10309.5,135000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.019101,-16765,-7032,-6153.0,-313,,1,1,0,1,0,0,Laborers,4.0,2,2,MONDAY,11,0,0,0,0,0,0,Business Entity Type 1,0.4741460184745872,0.5651608637063045,0.722392890081304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1875.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Ned
280342,Cash loans,F,Y,Y,0,157500.0,675000.0,43267.5,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-14344,-4245,-4644.0,-1713,5.0,1,1,0,1,1,0,High skill tech staff,2.0,2,2,SATURDAY,11,0,0,0,0,1,1,Industry: type 9,,0.5297721373617129,0.5814837058057234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,3.0,1.0,-1864.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0,Jamie
317249,Cash loans,F,N,Y,0,175500.0,450000.0,41274.0,450000.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.026392,-23675,365243,-6627.0,-4313,,1,0,0,1,0,0,,2.0,2,2,WEDNESDAY,14,0,0,0,0,0,0,XNA,,0.6154735113640329,0.6246146584503397,0.0804,,0.9906,,,0.08,0.069,0.375,,,,0.0849,,0.0012,0.0819,,0.9906,,,0.0806,0.069,0.375,,,,0.0885,,0.0012,0.0812,,0.9906,,,0.08,0.069,0.375,,,,0.0864,,0.0012,,block of flats,0.067,Panel,No,8.0,1.0,8.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0,Cersei
